date,open,high,low,close,volume,amount,name,ticker
2023-12-27,13.95,14.09,13.83,13.93,506303.66,706127.751,工业富联,601138.SH
2023-12-28,14.19,15.03,14.02,14.8,1042022.94,1522613.513,工业富联,601138.SH
2023-12-29,14.8,15.42,14.72,15.12,896699.26,1358259.324,工业富联,601138.SH
2024-01-02,15.0,15.0,14.03,14.2,1280166.37,1834238.096,工业富联,601138.SH
2024-01-03,14.11,14.24,13.78,13.88,827287.9,1154214.016,工业富联,601138.SH
2024-01-04,13.78,13.87,13.35,13.47,1031539.07,1390232.644,工业富联,601138.SH
2024-01-05,13.45,13.62,13.2,13.3,633968.97,850023.499,工业富联,601138.SH
2024-01-08,13.24,13.3,13.05,13.08,582859.96,767066.243,工业富联,601138.SH
2024-01-09,13.33,13.58,13.06,13.19,886399.75,1178732.748,工业富联,601138.SH
2024-01-10,13.08,13.22,12.83,12.91,691549.7,896989.917,工业富联,601138.SH
2024-01-11,12.96,13.19,12.89,13.15,736632.67,963337.025,工业富联,601138.SH
2024-01-12,13.0,13.11,12.82,12.86,596072.34,771220.392,工业富联,601138.SH
2024-01-15,12.8,12.93,12.63,12.72,595441.06,760055.553,工业富联,601138.SH
2024-01-16,12.64,13.03,12.64,12.91,1022356.91,1311978.067,工业富联,601138.SH
2024-01-17,12.87,13.1,12.68,12.68,765428.27,988768.028,工业富联,601138.SH
2024-01-18,12.68,13.8,12.68,13.71,2220347.35,2966176.138,工业富联,601138.SH
2024-01-19,13.84,14.47,13.72,14.2,1991610.81,2829169.536,工业富联,601138.SH
2024-01-22,14.71,14.94,14.2,14.4,2146068.3,3147146.255,工业富联,601138.SH
2024-01-23,14.05,14.8,14.02,14.5,1647230.79,2384151.801,工业富联,601138.SH
2024-01-24,14.62,14.76,14.06,14.5,1416357.78,2039889.528,工业富联,601138.SH
2024-01-25,14.45,15.22,14.31,15.08,1654835.18,2470541.712,工业富联,601138.SH
2024-01-26,14.83,14.91,14.27,14.41,1405584.59,2051277.667,工业富联,601138.SH
2024-01-29,14.22,14.41,13.49,13.59,1219277.39,1674421.619,工业富联,601138.SH
2024-01-30,13.55,13.9,13.48,13.5,756191.27,1034328.271,工业富联,601138.SH
2024-01-31,13.3,13.55,13.02,13.31,884639.99,1178654.515,工业富联,601138.SH
2024-02-01,13.13,14.64,12.98,14.56,1798360.47,2561288.968,工业富联,601138.SH
2024-02-02,14.54,14.77,13.55,13.92,1593523.48,2271481.022,工业富联,601138.SH
2024-02-05,13.88,15.21,13.81,14.77,2226109.7,3243363.776,工业富联,601138.SH
2024-02-06,14.3,15.89,14.3,15.53,2334671.21,3576843.175,工业富联,601138.SH
2024-02-07,15.27,15.53,15.01,15.3,1737953.34,2648861.173,工业富联,601138.SH
2024-02-08,15.5,16.56,15.2,15.7,1870793.16,2963949.494,工业富联,601138.SH
2024-02-19,16.7,17.27,16.32,17.27,1988385.0,3376731.916,工业富联,601138.SH
2024-02-20,17.9,18.99,17.61,18.49,3053231.62,5554868.237,工业富联,601138.SH
2024-02-21,17.73,17.86,17.25,17.55,2485908.73,4361411.875,工业富联,601138.SH
2024-02-22,18.25,18.57,17.31,18.19,2593071.14,4644717.973,工业富联,601138.SH
2024-02-23,18.82,18.95,18.06,18.17,2237458.78,4126150.026,工业富联,601138.SH
2024-02-26,17.6,18.01,17.51,17.67,1767651.15,3139609.159,工业富联,601138.SH
2024-02-27,17.59,19.44,17.39,19.33,2863759.68,5308530.292,工业富联,601138.SH
2024-02-28,19.05,19.29,18.2,18.2,2194145.06,4136701.239,工业富联,601138.SH
2024-02-29,18.16,19.06,18.08,18.69,1824979.75,3398084.193,工业富联,601138.SH
2024-03-01,19.05,20.46,19.05,20.02,2481166.2,4892950.969,工业富联,601138.SH
2024-03-04,20.8,22.02,20.44,22.02,2681951.45,5710595.359,工业富联,601138.SH
2024-03-05,21.7,24.18,21.53,22.75,3097570.66,7050812.139,工业富联,601138.SH
2024-03-06,22.07,22.55,21.7,22.01,2302576.87,5085112.589,工业富联,601138.SH
2024-03-07,22.47,23.21,21.86,22.61,2702906.78,6085421.452,工业富联,601138.SH
2024-03-08,23.1,24.87,22.66,24.87,2857208.42,6824257.68,工业富联,601138.SH
2024-03-11,23.68,26.75,23.4,25.82,3359709.86,8195001.191,工业富联,601138.SH
2024-03-12,25.26,25.48,24.07,24.8,3125176.53,7726114.946,工业富联,601138.SH
2024-03-13,25.54,26.98,24.09,24.35,4920399.64,12619421.139,工业富联,601138.SH
2024-03-14,22.77,23.27,21.99,22.85,5506131.86,12448108.454,工业富联,601138.SH
2024-03-15,22.49,23.28,22.46,23.08,3583235.53,8214079.652,工业富联,601138.SH
2024-03-18,23.45,25.3,23.36,25.01,4248135.9,10433641.458,工业富联,601138.SH
2024-03-19,24.4,26.11,24.13,25.51,3791375.1,9516654.769,工业富联,601138.SH
2024-03-20,25.3,25.83,24.57,25.08,2989026.28,7531928.513,工业富联,601138.SH
2024-03-21,25.08,25.8,24.74,24.99,2697025.91,6810420.622,工业富联,601138.SH
2024-03-22,24.82,25.35,24.11,24.43,2603640.04,6429464.24,工业富联,601138.SH
2024-03-25,24.85,25.0,23.87,23.91,2339728.26,5719688.823,工业富联,601138.SH
2024-03-26,24.0,24.3,23.0,23.73,2463438.59,5848714.351,工业富联,601138.SH
2024-03-27,23.37,23.67,22.36,22.41,2376320.35,5453341.226,工业富联,601138.SH
2024-03-28,22.42,24.11,22.42,23.45,2756410.78,6411695.654,工业富联,601138.SH
2024-03-29,23.14,23.18,22.33,22.77,1693522.75,3846707.807,工业富联,601138.SH
2024-04-01,22.9,23.5,22.58,23.31,1699460.05,3938504.686,工业富联,601138.SH
2024-04-02,23.24,23.68,22.72,22.9,1538554.03,3555487.009,工业富联,601138.SH
2024-04-03,22.7,22.74,21.74,21.92,1768837.11,3905145.59,工业富联,601138.SH
2024-04-08,21.7,22.39,21.58,22.0,1223887.63,2705714.76,工业富联,601138.SH
2024-04-09,22.15,22.16,21.3,21.89,1372387.81,2976232.278,工业富联,601138.SH
2024-04-10,21.69,21.87,20.93,21.1,1236589.36,2620631.468,工业富联,601138.SH
2024-04-11,21.23,21.65,21.1,21.25,1355528.14,2899217.552,工业富联,601138.SH
2024-04-12,21.8,22.92,21.71,22.26,2543957.86,5686706.943,工业富联,601138.SH
2024-04-15,21.88,22.55,21.7,22.24,1492917.15,3313784.495,工业富联,601138.SH
2024-04-16,21.53,22.37,21.4,21.81,1243880.81,2714956.237,工业富联,601138.SH
2024-04-17,22.5,22.86,21.74,22.5,2048865.15,4573338.864,工业富联,601138.SH
2024-04-18,21.86,23.49,21.32,22.9,2326483.9,5211279.395,工业富联,601138.SH
2024-04-19,22.41,22.5,21.44,22.05,1885986.19,4146330.681,工业富联,601138.SH
2024-04-22,20.38,21.1,19.95,20.84,1723169.91,3546511.611,工业富联,601138.SH
2024-04-23,21.05,21.19,20.36,20.59,1040597.77,2158505.427,工业富联,601138.SH
2024-04-24,21.02,22.59,20.92,22.24,2237521.08,4867851.884,工业富联,601138.SH
2024-04-25,21.66,22.49,21.56,22.19,1199373.17,2644030.377,工业富联,601138.SH
2024-04-26,23.22,24.41,23.2,24.41,3527523.82,8519029.87,工业富联,601138.SH
2024-04-29,24.76,24.76,24.17,24.52,2566888.98,6273636.106,工业富联,601138.SH
2024-04-30,25.3,25.3,24.45,24.5,2305375.44,5712943.191,工业富联,601138.SH
2024-05-06,25.0,25.3,24.4,24.82,1715147.99,4260075.771,工业富联,601138.SH
2024-05-07,25.2,25.99,24.67,25.38,2409142.42,6122501.658,工业富联,601138.SH
2024-05-08,24.74,25.2,24.41,24.46,1411924.78,3488052.621,工业富联,601138.SH
2024-05-09,24.3,24.5,23.76,24.22,1433467.7,3459862.019,工业富联,601138.SH
2024-05-10,24.0,24.19,23.52,23.92,974637.7,2323699.523,工业富联,601138.SH
2024-05-13,23.93,24.34,23.8,24.0,1012135.63,2434496.045,工业富联,601138.SH
2024-05-14,24.4,24.49,23.46,23.8,1146806.68,2746620.742,工业富联,601138.SH
2024-05-15,23.88,25.0,23.75,24.3,1425040.44,3493813.893,工业富联,601138.SH
2024-05-16,25.73,26.42,25.41,25.58,2411609.54,6231606.32,工业富联,601138.SH
