date,equity,returns
2024-04-16,103170.86678395243,0.0
2024-04-17,103170.86678395243,0.0
2024-04-18,103170.86678395243,0.0
2024-04-19,103170.86678395243,0.0
2024-04-22,103170.86678395243,0.0
2024-04-23,103170.86678395243,0.0
2024-04-24,103170.86678395243,0.0
2024-04-25,103170.86678395243,0.0
2024-04-26,103170.86678395243,0.0
2024-04-29,103036.88918757885,-0.0012985991157187238
2024-04-30,101753.21918757886,-0.012458353606377592
2024-05-06,102095.53118757886,0.0033641392649108592
2024-05-07,100983.01718757885,-0.010896794277469368
2024-05-08,99870.50318757886,-0.011016842544261385
2024-05-09,100212.81518757886,0.0034275585791039287
2024-05-10,99357.03518757886,-0.008539626378104903
2024-05-13,99357.03518757886,0.0
2024-05-14,98501.25518757886,-0.008613179714796693
2024-05-15,97987.78718757886,-0.005212806669541381
2024-05-16,99442.61318757886,0.014847013508071383
2024-05-17,100469.54918757886,0.010326920895199043
2024-05-20,101582.06318757887,0.011073146132296374
2024-05-21,100640.70518757885,-0.009266970668450947
2024-05-22,99870.50318757886,-0.007652986915825499
2024-05-23,98843.56718757885,-0.010282675737311453
2024-05-24,95980.16469660707,-0.02896903230473058
2024-05-27,95980.16469660707,0.0
2024-05-28,95980.16469660707,0.0
2024-05-29,95980.16469660707,0.0
2024-05-30,95980.16469660707,0.0
2024-05-31,95980.16469660707,0.0
2024-06-03,95980.16469660707,0.0
2024-06-04,95980.16469660707,0.0
2024-06-05,95980.16469660707,0.0
2024-06-06,95980.16469660707,0.0
2024-06-07,95980.16469660707,0.0
2024-06-11,95980.16469660707,0.0
2024-06-12,95980.16469660707,0.0
2024-06-13,95980.16469660707,0.0
2024-06-14,95855.52493942228,-0.0012985991176278633
2024-06-17,96897.4229394223,0.010869462147940379
2024-06-18,99381.94893942228,0.02564078511719803
2024-06-19,98660.63493942229,-0.007257998134446497
2024-06-20,97378.29893942228,-0.01299744321316565
2024-06-21,97618.73693942228,0.0024691127552922687
2024-06-24,94493.04293942229,-0.032019406294302444
2024-06-25,91527.64093942227,-0.031382225693600274
2024-06-26,94332.75093942229,0.0306476816315695
2024-06-27,92168.80893942228,-0.022939456110949497
2024-06-28,94412.89693942228,0.02434758597645459
2024-07-01,96015.81693942228,0.01697776524142114
2024-07-02,94893.77293942228,-0.011686032945050218
2024-07-03,93691.58293942228,-0.012668797569756807
2024-07-04,93130.56093942227,-0.005987965859886812
2024-07-05,92970.26893942228,-0.0017211535975204528
2024-07-08,92809.97693942228,-0.0017241210747109825
2024-07-09,98259.90493942228,0.058721359273229856
2024-07-10,98660.63493942229,0.004078265700003136
2024-07-11,98740.78093942229,0.0008123402008228808
2024-07-12,96496.69293942228,-0.02272706351569931
2024-07-15,95454.79493942228,-0.010797240488376825
2024-07-16,96416.54693942229,0.010075470809091991
2024-07-17,93771.72893942228,-0.02743116284450353
2024-07-18,92890.12293942229,-0.009401618269932022
2024-07-19,92088.66293942228,-0.008628043269171659
2024-07-22,92489.39293942228,0.00435156714419449
2024-07-23,90004.86693942228,-0.02686282092506853
2024-07-24,89247.55412125928,-0.008414131856588458
2024-07-25,89247.55412125928,0.0
2024-07-26,89247.55412125928,0.0
2024-07-29,89247.55412125928,0.0
2024-07-30,89247.55412125928,0.0
2024-07-31,89247.55412125928,0.0
2024-08-01,89247.55412125928,0.0
2024-08-02,89247.55412125928,0.0
2024-08-05,89247.55412125928,0.0
2024-08-06,89247.55412125928,0.0
2024-08-07,89247.55412125928,0.0
2024-08-08,89247.55412125928,0.0
2024-08-09,89247.55412125928,0.0
2024-08-12,89247.55412125928,0.0
2024-08-13,89247.55412125928,0.0
2024-08-14,89247.55412125928,0.0
2024-08-15,89247.55412125928,0.0
2024-08-16,89247.55412125928,0.0
2024-08-19,89247.55412125928,0.0
2024-08-20,89247.55412125928,0.0
2024-08-21,89247.55412125928,0.0
2024-08-22,89247.55412125928,0.0
2024-08-23,89247.55412125928,0.0
2024-08-26,89247.55412125928,0.0
2024-08-27,89247.55412125928,0.0
2024-08-28,89247.55412125928,0.0
2024-08-29,89247.55412125928,0.0
2024-08-30,89247.55412125928,0.0
2024-09-02,89247.55412125928,0.0
2024-09-03,89247.55412125928,0.0
2024-09-04,89247.55412125928,0.0
2024-09-05,89247.55412125928,0.0
2024-09-06,89247.55412125928,0.0
2024-09-09,89247.55412125928,0.0
2024-09-10,89247.55412125928,0.0
2024-09-11,89247.55412125928,0.0
2024-09-12,89247.55412125928,0.0
2024-09-13,89247.55412125928,0.0
2024-09-18,89247.55412125928,0.0
2024-09-19,89247.55412125928,0.0
2024-09-20,89247.55412125928,0.0
2024-09-23,89247.55412125928,0.0
2024-09-24,89131.6573004097,-0.00129859940690491
2024-09-25,89214.03330040969,0.0009242058601284242
2024-09-26,92344.32130040969,0.035087394709074626
2024-09-27,97122.1293004097,0.051739055880405393
2024-09-30,106842.49730040968,0.10008396716605938
2024-10-08,117551.3773004097,0.10023052877442384
2024-10-09,112608.81730040969,-0.042045955679183566
2024-10-10,110961.29730040969,-0.01463047068157075
2024-10-11,106842.49730040968,-0.03711924878499773
2024-10-14,109643.28130040968,0.02621413829484931
2024-10-15,107172.00130040968,-0.02253927436947989
2024-10-16,104124.08930040969,-0.028439442793052994
2024-10-17,104947.8493004097,0.007911329698388814
2024-10-18,113267.82530040969,0.0792772415581795
2024-10-21,114421.08930040969,0.010181743994301051
2024-10-22,114997.72130040968,0.005039560482474226
2024-10-23,113185.4493004097,-0.015759199221572096
2024-10-24,114832.96930040968,0.01455593462042315
2024-10-25,116150.98530040968,0.01147767934618149
2024-10-28,115574.3533004097,-0.00496450373200541
2024-10-29,114338.71330040968,-0.010691299278034805
2024-10-30,114750.59330040969,0.0036022794739507535
2024-10-31,115574.3533004097,0.007178699266882749
2024-11-01,111867.4333004097,-0.03207389783410419
2024-11-04,114338.71330040968,0.022091147772771214
2024-11-05,117880.88130040969,0.03097960347597617
2024-11-06,116645.24130040969,-0.010482106906302024
2024-11-07,118787.01730040969,0.01836145200715089
2024-11-08,120516.9133004097,0.014563005615547464
2024-11-11,124635.71330040968,0.03417611592601233
2024-11-12,122411.5613004097,-0.017845222216838486
2024-11-13,124718.08930040969,0.018842403246042583
2024-11-14,119116.52130040969,-0.044913837530876966
2024-11-15,114585.8413004097,-0.03803569773980975
2024-11-18,111537.9293004097,-0.02659937707320481
2024-11-19,114256.3373004097,0.024372050091394426
2024-11-20,115986.23330040969,0.01514048183998451
2024-11-21,114585.8413004097,-0.012073777724748713
2024-11-22,110631.79330040968,-0.03450729998686031
2024-11-25,107855.40028209049,-0.02509579692683983
2024-11-26,107855.40028209049,0.0
2024-11-27,107855.40028209049,0.0
2024-11-28,107855.40028209049,0.0
2024-11-29,107855.40028209049,0.0
2024-12-02,107855.40028209049,0.0
2024-12-03,107855.40028209049,0.0
2024-12-04,107855.40028209049,0.0
2024-12-05,107855.40028209049,0.0
2024-12-06,107855.40028209049,0.0
2024-12-09,107855.40028209049,0.0
2024-12-10,107855.40028209049,0.0
2024-12-11,107855.40028209049,0.0
2024-12-12,107855.40028209049,0.0
2024-12-13,107855.40028209049,0.0
2024-12-16,107855.40028209049,0.0
2024-12-17,107855.40028209049,0.0
2024-12-18,107855.40028209049,0.0
2024-12-19,107855.40028209049,0.0
2024-12-20,107855.40028209049,0.0
2024-12-23,107855.40028209049,0.0
2024-12-24,107855.40028209049,0.0
2024-12-25,107855.40028209049,0.0
2024-12-26,107715.33862362649,-0.001298605893610083
2024-12-27,105643.8986236265,-0.01923068735120359
2024-12-30,104090.3186236265,-0.014705818511439817
2024-12-31,100909.1786236265,-0.030561343668304874
2025-01-02,97527.1382397065,-0.0335156863830437
2025-01-03,97527.1382397065,0.0
