date,open,high,low,close,volume,amount,ma_short,ma_long,signal,position,buy_signal,sell_signal,name,ticker
2023-12-05,30.75,30.99,30.37,30.4,350327.8,1072489.555,31.276,31.378666666666668,-1,0,,30.4,立讯精密,002475.SZ
2023-12-06,30.3,30.55,29.91,30.29,466011.8,1406142.087,30.974,31.220000000000002,-1,0,,,立讯精密,002475.SZ
2023-12-07,30.1,30.23,29.7,29.91,410808.6,1229911.883,30.589999999999996,31.06,-1,0,,,立讯精密,002475.SZ
2023-12-08,29.91,31.21,29.91,30.89,558848.29,1716984.752,30.496,30.992666666666665,-1,0,,,立讯精密,002475.SZ
2023-12-11,30.63,31.53,30.51,31.43,424961.42,1316841.301,30.584000000000003,31.01133333333333,-1,0,,,立讯精密,002475.SZ
2023-12-12,31.31,32.15,31.22,32.0,547641.73,1747130.712,30.903999999999996,31.09733333333333,-1,0,,,立讯精密,002475.SZ
2023-12-13,31.9,32.31,31.76,31.78,358849.54,1149019.05,31.201999999999998,31.204,-1,0,,,立讯精密,002475.SZ
2023-12-14,32.0,32.13,31.41,31.49,326316.72,1035244.483,31.518,31.244000000000003,1,1,31.49,,立讯精密,002475.SZ
2023-12-15,31.68,32.55,31.62,31.73,498780.85,1596585.134,31.686,31.288666666666664,1,1,,,立讯精密,002475.SZ
2023-12-18,31.73,32.22,31.59,31.95,438980.25,1404492.591,31.79,31.305999999999997,1,1,,,立讯精密,002475.SZ
2023-12-19,32.0,32.76,31.18,32.5,506914.06,1636253.411,31.889999999999997,31.35666666666667,1,1,,,立讯精密,002475.SZ
2023-12-20,32.5,33.05,32.33,32.67,549918.79,1804514.364,32.068,31.414666666666665,1,1,,,立讯精密,002475.SZ
2023-12-21,32.5,32.82,32.14,32.58,434354.58,1410450.754,32.286,31.46466666666667,1,1,,,立讯精密,002475.SZ
2023-12-22,32.5,32.94,32.19,32.35,331808.53,1078313.739,32.410000000000004,31.530666666666665,1,1,,,立讯精密,002475.SZ
2023-12-25,32.25,32.85,32.19,32.79,273647.52,894426.793,32.578,31.650666666666666,1,1,,,立讯精密,002475.SZ
2023-12-26,32.72,32.72,31.86,32.25,269431.33,866548.717,32.528,31.774,1,1,,,立讯精密,002475.SZ
2023-12-27,32.2,32.74,32.1,32.61,316409.83,1028648.31,32.516,31.928666666666665,1,1,,,立讯精密,002475.SZ
2023-12-28,32.75,33.66,32.64,33.2,494463.31,1645968.951,32.64,32.148,1,1,,,立讯精密,002475.SZ
2023-12-29,33.2,34.85,33.14,34.45,802965.93,2760421.409,33.06,32.385333333333335,1,1,,,立讯精密,002475.SZ
